placement,size,bandwidth_MBps
same_numa,1,25.03
same_numa,2,48.37
same_numa,4,94.71
same_numa,8,194.51
same_numa,16,376.73
same_numa,32,774.34
same_numa,64,1564.91
same_numa,128,3090.13
same_numa,256,5382.62
same_numa,512,9613.63
same_numa,1024,14984.83
same_numa,2048,13779.74
same_numa,4096,11882.47
same_numa,8192,12762.76
same_numa,16384,14502.21
same_numa,32768,14947.29
same_numa,65536,15091.89
same_numa,131072,15146.45
same_numa,262144,11655.56
same_numa,524288,4687.93
same_numa,1048576,4640.27
diff_numa_same_socket,1,23.58
diff_numa_same_socket,2,46.68
diff_numa_same_socket,4,94.33
diff_numa_same_socket,8,196.17
diff_numa_same_socket,16,381.99
diff_numa_same_socket,32,767.06
diff_numa_same_socket,64,1449.67
diff_numa_same_socket,128,2932.81
diff_numa_same_socket,256,5216.50
diff_numa_same_socket,512,8769.61
diff_numa_same_socket,1024,14380.50
diff_numa_same_socket,2048,14824.93
diff_numa_same_socket,4096,12184.80
diff_numa_same_socket,8192,12980.69
diff_numa_same_socket,16384,14820.37
diff_numa_same_socket,32768,15246.64
diff_numa_same_socket,65536,15394.22
diff_numa_same_socket,131072,15417.09
diff_numa_same_socket,262144,10205.15
diff_numa_same_socket,524288,4245.22
diff_numa_same_socket,1048576,4197.75
diff_socket_same_node,1,25.25
diff_socket_same_node,2,48.51
diff_socket_same_node,4,100.53
diff_socket_same_node,8,195.37
diff_socket_same_node,16,385.49
diff_socket_same_node,32,812.78
diff_socket_same_node,64,1590.95
diff_socket_same_node,128,3091.61
diff_socket_same_node,256,5840.64
diff_socket_same_node,512,9538.33
diff_socket_same_node,1024,15416.96
diff_socket_same_node,2048,15189.48
diff_socket_same_node,4096,11871.29
diff_socket_same_node,8192,12780.23
diff_socket_same_node,16384,14569.89
diff_socket_same_node,32768,15124.03
diff_socket_same_node,65536,15325.91
diff_socket_same_node,131072,15320.42
diff_socket_same_node,262144,9779.23
diff_socket_same_node,524288,4228.61
diff_socket_same_node,1048576,4201.62
inter_node,1,5.40
inter_node,2,13.76
inter_node,4,26.70
inter_node,8,54.11
inter_node,16,108.37
inter_node,32,215.42
inter_node,64,434.02
inter_node,128,735.90
inter_node,256,1413.10
inter_node,512,2624.07
inter_node,1024,4444.56
inter_node,2048,6519.00
inter_node,4096,9159.41
inter_node,8192,9807.69
inter_node,16384,10618.48
inter_node,32768,11305.34
inter_node,65536,11686.15
inter_node,131072,11894.13
inter_node,262144,12025.05
inter_node,524288,12102.96
inter_node,1048576,12140.97
