placement,size,bandwidth_MBps
same_numa,1,23.68
same_numa,2,47.49
same_numa,4,96.40
same_numa,8,199.40
same_numa,16,395.26
same_numa,32,762.74
same_numa,64,1541.19
same_numa,128,2906.75
same_numa,256,5757.68
same_numa,512,9191.56
same_numa,1024,14793.43
same_numa,2048,15336.58
same_numa,4096,11906.26
same_numa,8192,12706.58
same_numa,16384,14194.45
same_numa,32768,14897.23
same_numa,65536,14967.05
same_numa,131072,15035.97
same_numa,262144,11768.96
same_numa,524288,4705.48
same_numa,1048576,4638.32
diff_numa_same_socket,1,25.09
diff_numa_same_socket,2,48.13
diff_numa_same_socket,4,94.79
diff_numa_same_socket,8,198.76
diff_numa_same_socket,16,406.63
diff_numa_same_socket,32,772.15
diff_numa_same_socket,64,1601.50
diff_numa_same_socket,128,3086.94
diff_numa_same_socket,256,5894.75
diff_numa_same_socket,512,9219.81
diff_numa_same_socket,1024,15128.58
diff_numa_same_socket,2048,16058.36
diff_numa_same_socket,4096,12352.08
diff_numa_same_socket,8192,12849.65
diff_numa_same_socket,16384,14654.60
diff_numa_same_socket,32768,15016.23
diff_numa_same_socket,65536,15263.87
diff_numa_same_socket,131072,15276.52
diff_numa_same_socket,262144,10154.33
diff_numa_same_socket,524288,4227.76
diff_numa_same_socket,1048576,4190.61
diff_socket_same_node,1,24.64
diff_socket_same_node,2,47.99
diff_socket_same_node,4,96.90
diff_socket_same_node,8,182.18
diff_socket_same_node,16,403.16
diff_socket_same_node,32,790.16
diff_socket_same_node,64,1608.77
diff_socket_same_node,128,3121.33
diff_socket_same_node,256,5966.41
diff_socket_same_node,512,9647.54
diff_socket_same_node,1024,15278.00
diff_socket_same_node,2048,16016.12
diff_socket_same_node,4096,12385.76
diff_socket_same_node,8192,13097.64
diff_socket_same_node,16384,14690.14
diff_socket_same_node,32768,15188.24
diff_socket_same_node,65536,15379.90
diff_socket_same_node,131072,15429.52
diff_socket_same_node,262144,10370.63
diff_socket_same_node,524288,4238.29
diff_socket_same_node,1048576,4200.01
inter_node,1,6.89
inter_node,2,13.78
inter_node,4,26.99
inter_node,8,53.67
inter_node,16,110.55
inter_node,32,221.68
inter_node,64,447.23
inter_node,128,748.96
inter_node,256,1406.39
inter_node,512,2649.06
inter_node,1024,4518.86
inter_node,2048,6332.77
inter_node,4096,8904.76
inter_node,8192,9931.72
inter_node,16384,10662.44
inter_node,32768,11371.79
inter_node,65536,11742.16
inter_node,131072,11901.51
inter_node,262144,12021.39
inter_node,524288,12087.36
inter_node,1048576,12131.87
