placement,size,bandwidth_MBps
same_numa,1,24.39
same_numa,2,47.60
same_numa,4,94.04
same_numa,8,188.85
same_numa,16,395.50
same_numa,32,785.70
same_numa,64,1520.17
same_numa,128,2887.47
same_numa,256,5806.12
same_numa,512,9086.50
same_numa,1024,14333.86
same_numa,2048,13963.13
same_numa,4096,11850.23
same_numa,8192,12460.81
same_numa,16384,14219.51
same_numa,32768,14773.06
same_numa,65536,15011.72
same_numa,131072,15002.96
same_numa,262144,11141.94
same_numa,524288,4674.65
same_numa,1048576,4648.00
diff_numa_same_socket,1,24.12
diff_numa_same_socket,2,49.32
diff_numa_same_socket,4,98.31
diff_numa_same_socket,8,195.45
diff_numa_same_socket,16,390.22
diff_numa_same_socket,32,788.16
diff_numa_same_socket,64,1571.26
diff_numa_same_socket,128,2849.03
diff_numa_same_socket,256,5701.28
diff_numa_same_socket,512,9230.14
diff_numa_same_socket,1024,14854.90
diff_numa_same_socket,2048,15376.83
diff_numa_same_socket,4096,12235.40
diff_numa_same_socket,8192,13006.12
diff_numa_same_socket,16384,14599.55
diff_numa_same_socket,32768,15128.99
diff_numa_same_socket,65536,15254.74
diff_numa_same_socket,131072,15301.95
diff_numa_same_socket,262144,9787.11
diff_numa_same_socket,524288,4254.49
diff_numa_same_socket,1048576,4200.05
diff_socket_same_node,1,25.53
diff_socket_same_node,2,47.37
diff_socket_same_node,4,95.45
diff_socket_same_node,8,193.33
diff_socket_same_node,16,379.32
diff_socket_same_node,32,792.83
diff_socket_same_node,64,1560.06
diff_socket_same_node,128,2940.95
diff_socket_same_node,256,5467.65
diff_socket_same_node,512,9321.06
diff_socket_same_node,1024,14676.86
diff_socket_same_node,2048,15517.50
diff_socket_same_node,4096,12326.56
diff_socket_same_node,8192,13052.59
diff_socket_same_node,16384,14761.97
diff_socket_same_node,32768,15056.52
diff_socket_same_node,65536,15369.65
diff_socket_same_node,131072,14703.69
diff_socket_same_node,262144,10209.01
diff_socket_same_node,524288,4250.77
diff_socket_same_node,1048576,4220.71
inter_node,1,1.41
inter_node,2,2.84
inter_node,4,5.63
inter_node,8,7.26
inter_node,16,22.55
inter_node,32,44.93
inter_node,64,88.79
inter_node,128,169.56
inter_node,256,319.78
inter_node,512,612.98
inter_node,1024,1092.36
inter_node,2048,1698.25
inter_node,4096,2513.69
inter_node,8192,3773.78
inter_node,16384,4405.36
inter_node,32768,5727.47
inter_node,65536,6856.33
inter_node,131072,7648.52
inter_node,262144,7632.70
inter_node,524288,3332.19
inter_node,1048576,1584.79
