placement,size,bandwidth_MBps
same_numa,1,27.64
same_numa,2,58.92
same_numa,4,117.14
same_numa,8,246.27
same_numa,16,491.68
same_numa,32,1009.45
same_numa,64,2100.71
same_numa,128,3988.42
same_numa,256,7950.94
same_numa,512,13807.93
same_numa,1024,21719.70
same_numa,2048,29302.90
same_numa,4096,33546.06
same_numa,8192,32730.11
same_numa,16384,34873.92
same_numa,32768,35949.24
same_numa,65536,36831.71
same_numa,131072,19369.58
same_numa,262144,9103.28
same_numa,524288,9104.48
same_numa,1048576,8971.46
diff_numa_same_socket,1,28.37
diff_numa_same_socket,2,57.24
diff_numa_same_socket,4,114.28
diff_numa_same_socket,8,247.14
diff_numa_same_socket,16,484.15
diff_numa_same_socket,32,994.51
diff_numa_same_socket,64,1892.36
diff_numa_same_socket,128,3589.19
diff_numa_same_socket,256,7107.76
diff_numa_same_socket,512,12704.57
diff_numa_same_socket,1024,21501.86
diff_numa_same_socket,2048,28892.98
diff_numa_same_socket,4096,32906.78
diff_numa_same_socket,8192,33187.82
diff_numa_same_socket,16384,34606.23
diff_numa_same_socket,32768,35669.42
diff_numa_same_socket,65536,36003.46
diff_numa_same_socket,131072,21591.29
diff_numa_same_socket,262144,9849.12
diff_numa_same_socket,524288,9752.67
diff_numa_same_socket,1048576,9783.62
diff_socket_same_node,1,28.23
diff_socket_same_node,2,58.92
diff_socket_same_node,4,117.44
diff_socket_same_node,8,246.62
diff_socket_same_node,16,491.66
diff_socket_same_node,32,950.94
diff_socket_same_node,64,2123.64
diff_socket_same_node,128,3835.63
diff_socket_same_node,256,7649.33
diff_socket_same_node,512,13755.36
diff_socket_same_node,1024,21775.12
diff_socket_same_node,2048,29425.86
diff_socket_same_node,4096,31431.44
diff_socket_same_node,8192,32721.92
diff_socket_same_node,16384,34927.25
diff_socket_same_node,32768,36555.83
diff_socket_same_node,65536,37936.94
diff_socket_same_node,131072,14609.64
diff_socket_same_node,262144,8147.78
diff_socket_same_node,524288,8028.47
diff_socket_same_node,1048576,7977.59
inter_node,1,3.67
inter_node,2,7.54
inter_node,4,14.76
inter_node,8,28.11
inter_node,16,59.00
inter_node,32,121.18
inter_node,64,237.29
inter_node,128,429.99
inter_node,256,810.88
inter_node,512,1378.48
inter_node,1024,3091.92
inter_node,2048,6257.52
inter_node,4096,9797.56
inter_node,8192,10942.95
inter_node,16384,11672.79
inter_node,32768,11960.72
inter_node,65536,12129.25
inter_node,131072,12237.89
inter_node,262144,12286.48
inter_node,524288,12323.25
inter_node,1048576,12316.47
