placement,size,bandwidth_MBps
same_numa,1,27.14
same_numa,2,53.87
same_numa,4,105.28
same_numa,8,219.87
same_numa,16,444.28
same_numa,32,973.29
same_numa,64,1868.62
same_numa,128,3593.89
same_numa,256,7378.20
same_numa,512,12853.77
same_numa,1024,20052.29
same_numa,2048,27562.39
same_numa,4096,29289.28
same_numa,8192,30579.16
same_numa,16384,32746.61
same_numa,32768,34944.27
same_numa,65536,36175.02
same_numa,131072,18285.89
same_numa,262144,8559.04
same_numa,524288,8512.88
same_numa,1048576,8447.41
diff_numa_same_socket,1,26.91
diff_numa_same_socket,2,54.22
diff_numa_same_socket,4,109.76
diff_numa_same_socket,8,230.79
diff_numa_same_socket,16,452.65
diff_numa_same_socket,32,990.12
diff_numa_same_socket,64,1983.49
diff_numa_same_socket,128,3667.84
diff_numa_same_socket,256,7065.24
diff_numa_same_socket,512,13021.89
diff_numa_same_socket,1024,20864.38
diff_numa_same_socket,2048,28209.27
diff_numa_same_socket,4096,30680.67
diff_numa_same_socket,8192,31739.53
diff_numa_same_socket,16384,33387.18
diff_numa_same_socket,32768,35153.98
diff_numa_same_socket,65536,28239.75
diff_numa_same_socket,131072,14232.09
diff_numa_same_socket,262144,10410.69
diff_numa_same_socket,524288,8907.61
diff_numa_same_socket,1048576,8914.74
diff_socket_same_node,1,25.35
diff_socket_same_node,2,53.06
diff_socket_same_node,4,106.66
diff_socket_same_node,8,210.86
diff_socket_same_node,16,449.84
diff_socket_same_node,32,938.71
diff_socket_same_node,64,1904.31
diff_socket_same_node,128,3598.56
diff_socket_same_node,256,7012.62
diff_socket_same_node,512,12532.84
diff_socket_same_node,1024,20273.38
diff_socket_same_node,2048,28646.65
diff_socket_same_node,4096,29556.04
diff_socket_same_node,8192,30428.15
diff_socket_same_node,16384,33276.75
diff_socket_same_node,32768,34515.00
diff_socket_same_node,65536,35606.17
diff_socket_same_node,131072,14736.57
diff_socket_same_node,262144,7175.63
diff_socket_same_node,524288,7139.29
diff_socket_same_node,1048576,7060.73
inter_node,1,3.77
inter_node,2,7.55
inter_node,4,15.07
inter_node,8,30.22
inter_node,16,60.54
inter_node,32,122.07
inter_node,64,242.58
inter_node,128,426.85
inter_node,256,819.07
inter_node,512,1419.10
inter_node,1024,3275.37
inter_node,2048,6422.59
inter_node,4096,9941.41
inter_node,8192,11065.54
inter_node,16384,11697.04
inter_node,32768,11990.74
inter_node,65536,12156.54
inter_node,131072,12254.75
inter_node,262144,12300.09
inter_node,524288,12323.25
inter_node,1048576,12334.21
