placement,size,bandwidth_MBps,cluster,source
same_numa,1,29.78,aion,easybuild
same_numa,2,57.37,aion,easybuild
same_numa,4,120.32,aion,easybuild
same_numa,8,239.16,aion,easybuild
same_numa,16,493.07,aion,easybuild
same_numa,32,1014.91,aion,easybuild
same_numa,64,2071.32,aion,easybuild
same_numa,128,3870.03,aion,easybuild
same_numa,256,7800.92,aion,easybuild
same_numa,512,13700.9,aion,easybuild
same_numa,1024,21445.71,aion,easybuild
same_numa,2048,29270.24,aion,easybuild
same_numa,4096,29178.85,aion,easybuild
same_numa,8192,30761.68,aion,easybuild
same_numa,16384,33195.66,aion,easybuild
same_numa,32768,35282.91,aion,easybuild
same_numa,65536,36441.71,aion,easybuild
same_numa,131072,18009.72,aion,easybuild
same_numa,262144,8548.03,aion,easybuild
same_numa,524288,8512.06,aion,easybuild
same_numa,1048576,8455.08,aion,easybuild
diff_numa_same_socket,1,27.84,aion,easybuild
diff_numa_same_socket,2,56.03,aion,easybuild
diff_numa_same_socket,4,115.53,aion,easybuild
diff_numa_same_socket,8,248.49,aion,easybuild
diff_numa_same_socket,16,482.94,aion,easybuild
diff_numa_same_socket,32,1006.48,aion,easybuild
diff_numa_same_socket,64,1920.84,aion,easybuild
diff_numa_same_socket,128,3948.95,aion,easybuild
diff_numa_same_socket,256,8131.93,aion,easybuild
diff_numa_same_socket,512,13870.53,aion,easybuild
diff_numa_same_socket,1024,21963.84,aion,easybuild
diff_numa_same_socket,2048,29807.21,aion,easybuild
diff_numa_same_socket,4096,31294.22,aion,easybuild
diff_numa_same_socket,8192,31166.1,aion,easybuild
diff_numa_same_socket,16384,33879.51,aion,easybuild
diff_numa_same_socket,32768,36211.29,aion,easybuild
diff_numa_same_socket,65536,37156.5,aion,easybuild
diff_numa_same_socket,131072,19387.98,aion,easybuild
diff_numa_same_socket,262144,9114.91,aion,easybuild
diff_numa_same_socket,524288,9064.82,aion,easybuild
diff_numa_same_socket,1048576,9070.12,aion,easybuild
diff_socket_same_node,1,27.49,aion,easybuild
diff_socket_same_node,2,55.85,aion,easybuild
diff_socket_same_node,4,112.65,aion,easybuild
diff_socket_same_node,8,227.54,aion,easybuild
diff_socket_same_node,16,456.42,aion,easybuild
