placement,size,bandwidth_MBps
same_numa,1,24.30
same_numa,2,45.85
same_numa,4,91.42
same_numa,8,191.76
same_numa,16,379.86
same_numa,32,776.04
same_numa,64,1627.47
same_numa,128,3077.31
same_numa,256,5886.17
same_numa,512,9547.73
same_numa,1024,14956.68
same_numa,2048,15551.82
same_numa,4096,11693.96
same_numa,8192,12611.73
same_numa,16384,14260.76
same_numa,32768,14682.53
same_numa,65536,14952.83
same_numa,131072,14981.57
same_numa,262144,10789.19
same_numa,524288,4641.50
same_numa,1048576,4602.24
diff_numa_same_socket,1,25.18
diff_numa_same_socket,2,50.32
diff_numa_same_socket,4,98.35
diff_numa_same_socket,8,204.91
diff_numa_same_socket,16,385.46
diff_numa_same_socket,32,814.77
diff_numa_same_socket,64,1546.70
diff_numa_same_socket,128,3027.52
diff_numa_same_socket,256,5830.68
diff_numa_same_socket,512,9618.19
diff_numa_same_socket,1024,15407.39
diff_numa_same_socket,2048,16253.45
diff_numa_same_socket,4096,12055.62
diff_numa_same_socket,8192,12837.26
diff_numa_same_socket,16384,14669.96
diff_numa_same_socket,32768,15093.42
diff_numa_same_socket,65536,15233.61
diff_numa_same_socket,131072,15317.18
diff_numa_same_socket,262144,9920.44
diff_numa_same_socket,524288,4217.33
diff_numa_same_socket,1048576,4189.96
diff_socket_same_node,1,24.72
diff_socket_same_node,2,48.99
diff_socket_same_node,4,95.53
diff_socket_same_node,8,200.67
diff_socket_same_node,16,399.28
diff_socket_same_node,32,817.37
diff_socket_same_node,64,1620.62
diff_socket_same_node,128,2975.35
diff_socket_same_node,256,5951.70
diff_socket_same_node,512,9708.40
diff_socket_same_node,1024,15470.57
diff_socket_same_node,2048,15366.84
diff_socket_same_node,4096,12194.25
diff_socket_same_node,8192,12786.49
diff_socket_same_node,16384,14496.80
diff_socket_same_node,32768,15030.13
diff_socket_same_node,65536,15199.89
diff_socket_same_node,131072,15215.86
diff_socket_same_node,262144,9949.12
diff_socket_same_node,524288,4216.60
diff_socket_same_node,1048576,4199.34
inter_node,1,5.22
inter_node,2,13.60
inter_node,4,27.08
inter_node,8,53.11
inter_node,16,103.24
inter_node,32,212.23
inter_node,64,440.66
inter_node,128,736.92
inter_node,256,1370.13
inter_node,512,2601.36
inter_node,1024,4426.53
inter_node,2048,6370.74
inter_node,4096,9069.20
inter_node,8192,9755.63
inter_node,16384,10539.50
inter_node,32768,11268.93
inter_node,65536,11655.94
inter_node,131072,11858.69
inter_node,262144,11991.38
inter_node,524288,12081.10
inter_node,1048576,12121.27
