placement,size,bandwidth_MBps
same_numa,1,21.72
same_numa,2,44.16
same_numa,4,90.77
same_numa,8,184.64
same_numa,16,357.95
same_numa,32,718.27
same_numa,64,1404.77
same_numa,128,2630.92
same_numa,256,5082.37
same_numa,512,8416.24
same_numa,1024,13701.46
same_numa,2048,13751.22
same_numa,4096,11418.73
same_numa,8192,12152.40
same_numa,16384,13524.71
same_numa,32768,14752.89
same_numa,65536,14834.68
same_numa,131072,14960.47
same_numa,262144,11237.42
same_numa,524288,4652.29
same_numa,1048576,4617.88
diff_numa_same_socket,1,24.02
diff_numa_same_socket,2,48.91
diff_numa_same_socket,4,100.09
diff_numa_same_socket,8,200.37
diff_numa_same_socket,16,376.21
diff_numa_same_socket,32,747.73
diff_numa_same_socket,64,1537.51
diff_numa_same_socket,128,2882.21
diff_numa_same_socket,256,5839.79
diff_numa_same_socket,512,9598.92
diff_numa_same_socket,1024,15300.53
diff_numa_same_socket,2048,15300.52
diff_numa_same_socket,4096,12273.79
diff_numa_same_socket,8192,13006.20
diff_numa_same_socket,16384,14531.86
diff_numa_same_socket,32768,15027.32
diff_numa_same_socket,65536,15253.29
diff_numa_same_socket,131072,15260.65
diff_numa_same_socket,262144,9879.13
diff_numa_same_socket,524288,4230.43
diff_numa_same_socket,1048576,4212.45
diff_socket_same_node,1,24.37
diff_socket_same_node,2,49.71
diff_socket_same_node,4,99.99
diff_socket_same_node,8,200.35
diff_socket_same_node,16,394.24
diff_socket_same_node,32,796.56
diff_socket_same_node,64,1508.36
diff_socket_same_node,128,2864.63
diff_socket_same_node,256,5966.54
diff_socket_same_node,512,9394.64
diff_socket_same_node,1024,15345.25
diff_socket_same_node,2048,15842.00
diff_socket_same_node,4096,12253.21
diff_socket_same_node,8192,12972.31
diff_socket_same_node,16384,14622.38
diff_socket_same_node,32768,15074.52
diff_socket_same_node,65536,15245.03
diff_socket_same_node,131072,15302.65
diff_socket_same_node,262144,10425.17
diff_socket_same_node,524288,4226.60
diff_socket_same_node,1048576,4214.56
inter_node,1,6.84
inter_node,2,13.91
inter_node,4,27.24
inter_node,8,53.48
inter_node,16,108.66
inter_node,32,215.33
inter_node,64,434.25
inter_node,128,746.62
inter_node,256,1432.54
inter_node,512,2660.25
inter_node,1024,4499.21
inter_node,2048,6358.11
inter_node,4096,9049.06
inter_node,8192,9791.45
inter_node,16384,10591.64
inter_node,32768,11291.96
inter_node,65536,11673.15
inter_node,131072,11892.31
inter_node,262144,11996.82
inter_node,524288,12073.61
inter_node,1048576,12119.47
