placement,size,bandwidth_MBps
same_numa,1,24.04
same_numa,2,47.01
same_numa,4,92.63
same_numa,8,188.15
same_numa,16,369.83
same_numa,32,727.21
same_numa,64,1495.38
same_numa,128,2913.92
same_numa,256,5359.27
same_numa,512,8847.30
same_numa,1024,14909.44
same_numa,2048,16618.04
same_numa,4096,11968.44
same_numa,8192,12443.92
same_numa,16384,14384.80
same_numa,32768,14720.23
same_numa,65536,14869.01
same_numa,131072,14962.42
same_numa,262144,11852.31
same_numa,524288,4660.45
same_numa,1048576,4600.22
diff_numa_same_socket,1,23.71
diff_numa_same_socket,2,47.10
diff_numa_same_socket,4,99.15
diff_numa_same_socket,8,198.91
diff_numa_same_socket,16,378.97
diff_numa_same_socket,32,741.40
diff_numa_same_socket,64,1542.92
diff_numa_same_socket,128,3009.93
diff_numa_same_socket,256,5746.63
diff_numa_same_socket,512,9383.47
diff_numa_same_socket,1024,14274.94
diff_numa_same_socket,2048,15399.16
diff_numa_same_socket,4096,12221.81
diff_numa_same_socket,8192,12847.80
diff_numa_same_socket,16384,14607.19
diff_numa_same_socket,32768,15133.66
diff_numa_same_socket,65536,15270.32
diff_numa_same_socket,131072,15260.34
diff_numa_same_socket,262144,9749.95
diff_numa_same_socket,524288,4221.83
diff_numa_same_socket,1048576,4213.47
diff_socket_same_node,1,24.42
diff_socket_same_node,2,47.47
diff_socket_same_node,4,99.48
diff_socket_same_node,8,200.34
diff_socket_same_node,16,390.42
diff_socket_same_node,32,777.52
diff_socket_same_node,64,1578.59
diff_socket_same_node,128,3086.54
diff_socket_same_node,256,5752.36
diff_socket_same_node,512,9406.06
diff_socket_same_node,1024,15055.96
diff_socket_same_node,2048,15068.52
diff_socket_same_node,4096,12267.17
diff_socket_same_node,8192,12927.96
diff_socket_same_node,16384,14670.90
diff_socket_same_node,32768,15068.39
diff_socket_same_node,65536,15275.58
diff_socket_same_node,131072,15275.06
diff_socket_same_node,262144,10253.44
diff_socket_same_node,524288,4223.90
diff_socket_same_node,1048576,4178.76
inter_node,1,6.85
inter_node,2,13.74
inter_node,4,26.55
inter_node,8,53.73
inter_node,16,110.40
inter_node,32,222.28
inter_node,64,437.68
inter_node,128,743.03
inter_node,256,1401.67
inter_node,512,2652.58
inter_node,1024,4541.27
inter_node,2048,6454.85
inter_node,4096,9072.08
inter_node,8192,9868.39
inter_node,16384,10562.03
inter_node,32768,11315.74
inter_node,65536,11698.00
inter_node,131072,11892.15
inter_node,262144,11974.87
inter_node,524288,12077.29
inter_node,1048576,12111.93
