placement,size,latency_us
same_numa,1,0.13
same_numa,2,0.13
same_numa,4,0.13
same_numa,8,0.13
same_numa,16,0.13
same_numa,32,0.13
same_numa,64,0.13
same_numa,128,0.13
same_numa,256,0.13
same_numa,512,0.13
same_numa,1024,0.14
same_numa,2048,0.15
same_numa,4096,0.16
same_numa,8192,0.20
diff_numa_same_socket,1,0.13
diff_numa_same_socket,2,0.13
diff_numa_same_socket,4,0.13
diff_numa_same_socket,8,0.17
diff_numa_same_socket,16,0.13
diff_numa_same_socket,32,0.13
diff_numa_same_socket,64,0.13
diff_numa_same_socket,128,0.16
diff_numa_same_socket,256,0.13
diff_numa_same_socket,512,0.14
diff_numa_same_socket,1024,0.14
diff_numa_same_socket,2048,0.17
diff_numa_same_socket,4096,0.17
diff_numa_same_socket,8192,0.21
diff_socket_same_node,1,0.13
diff_socket_same_node,2,0.14
diff_socket_same_node,4,0.13
diff_socket_same_node,8,0.13
diff_socket_same_node,16,0.13
diff_socket_same_node,32,0.14
diff_socket_same_node,64,0.13
diff_socket_same_node,128,0.13
diff_socket_same_node,256,0.13
diff_socket_same_node,512,0.14
diff_socket_same_node,1024,0.14
diff_socket_same_node,2048,0.15
diff_socket_same_node,4096,0.17
diff_socket_same_node,8192,0.21
inter_node,1,2.85
inter_node,2,2.84
inter_node,4,2.82
inter_node,8,2.83
inter_node,16,2.84
inter_node,32,2.83
inter_node,64,2.93
inter_node,128,3.01
inter_node,256,3.06
inter_node,512,3.12
inter_node,1024,3.18
inter_node,2048,3.34
inter_node,4096,3.94
inter_node,8192,4.50
