placement,size,latency_us,cluster,source
same_numa,1,0.13,aion,easybuild
same_numa,2,0.13,aion,easybuild
same_numa,4,0.13,aion,easybuild
same_numa,8,0.13,aion,easybuild
same_numa,16,0.13,aion,easybuild
same_numa,32,0.13,aion,easybuild
same_numa,64,0.13,aion,easybuild
same_numa,128,0.13,aion,easybuild
same_numa,256,0.13,aion,easybuild
same_numa,512,0.13,aion,easybuild
same_numa,1024,0.14,aion,easybuild
same_numa,2048,0.15,aion,easybuild
same_numa,4096,0.16,aion,easybuild
same_numa,8192,0.2,aion,easybuild
diff_numa_same_socket,1,0.13,aion,easybuild
diff_numa_same_socket,2,0.13,aion,easybuild
diff_numa_same_socket,4,0.13,aion,easybuild
diff_numa_same_socket,8,0.17,aion,easybuild
diff_numa_same_socket,16,0.13,aion,easybuild
diff_numa_same_socket,32,0.13,aion,easybuild
diff_numa_same_socket,64,0.13,aion,easybuild
diff_numa_same_socket,128,0.16,aion,easybuild
diff_numa_same_socket,256,0.13,aion,easybuild
diff_numa_same_socket,512,0.14,aion,easybuild
diff_numa_same_socket,1024,0.14,aion,easybuild
diff_numa_same_socket,2048,0.17,aion,easybuild
diff_numa_same_socket,4096,0.17,aion,easybuild
diff_numa_same_socket,8192,0.21,aion,easybuild
diff_socket_same_node,1,0.13,aion,easybuild
diff_socket_same_node,2,0.14,aion,easybuild
diff_socket_same_node,4,0.13,aion,easybuild
diff_socket_same_node,8,0.13,aion,easybuild
diff_socket_same_node,16,0.13,aion,easybuild
diff_socket_same_node,32,0.14,aion,easybuild
diff_socket_same_node,64,0.13,aion,easybuild
diff_socket_same_node,128,0.13,aion,easybuild
diff_socket_same_node,256,0.13,aion,easybuild
diff_socket_same_node,512,0.14,aion,easybuild
diff_socket_same_node,1024,0.14,aion,easybuild
diff_socket_same_node,2048,0.15,aion,easybuild
diff_socket_same_node,4096,0.17,aion,easybuild
diff_socket_same_node,8192,0.21,aion,easybuild
inter_node,1,2.85,aion,easybuild
inter_node,2,2.84,aion,easybuild
inter_node,4,2.82,aion,easybuild
inter_node,8,2.83,aion,easybuild
inter_node,16,2.84,aion,easybuild
inter_node,32,2.83,aion,easybuild
inter_node,64,2.93,aion,easybuild
inter_node,128,3.01,aion,easybuild
inter_node,256,3.06,aion,easybuild
inter_node,512,3.12,aion,easybuild
inter_node,1024,3.18,aion,easybuild
inter_node,2048,3.34,aion,easybuild
inter_node,4096,3.94,aion,easybuild
inter_node,8192,4.5,aion,easybuild
same_numa,1,0.13,aion,eessi
same_numa,2,0.14,aion,eessi
same_numa,4,0.13,aion,eessi
same_numa,8,0.13,aion,eessi
same_numa,16,0.13,aion,eessi
same_numa,32,0.13,aion,eessi
same_numa,64,0.15,aion,eessi
same_numa,128,0.13,aion,eessi
same_numa,256,0.13,aion,eessi
same_numa,512,0.13,aion,eessi
same_numa,1024,0.14,aion,eessi
same_numa,2048,0.14,aion,eessi
same_numa,4096,0.16,aion,eessi
same_numa,8192,0.2,aion,eessi
diff_numa_same_socket,1,0.13,aion,eessi
diff_numa_same_socket,2,0.15,aion,eessi
diff_numa_same_socket,4,0.13,aion,eessi
diff_numa_same_socket,8,0.14,aion,eessi
diff_numa_same_socket,16,0.13,aion,eessi
diff_numa_same_socket,32,0.14,aion,eessi
diff_numa_same_socket,64,0.15,aion,eessi
diff_numa_same_socket,128,0.13,aion,eessi
diff_numa_same_socket,256,0.13,aion,eessi
diff_numa_same_socket,512,0.13,aion,eessi
diff_numa_same_socket,1024,0.17,aion,eessi
diff_numa_same_socket,2048,0.15,aion,eessi
diff_numa_same_socket,4096,0.16,aion,eessi
diff_numa_same_socket,8192,0.21,aion,eessi
diff_socket_same_node,1,0.13,aion,eessi
diff_socket_same_node,2,0.13,aion,eessi
diff_socket_same_node,4,0.13,aion,eessi
diff_socket_same_node,8,0.13,aion,eessi
diff_socket_same_node,16,0.13,aion,eessi
diff_socket_same_node,32,0.13,aion,eessi
diff_socket_same_node,64,0.13,aion,eessi
diff_socket_same_node,128,0.14,aion,eessi
diff_socket_same_node,256,0.13,aion,eessi
diff_socket_same_node,512,0.14,aion,eessi
diff_socket_same_node,1024,0.14,aion,eessi
diff_socket_same_node,2048,0.17,aion,eessi
diff_socket_same_node,4096,0.17,aion,eessi
diff_socket_same_node,8192,0.21,aion,eessi
inter_node,1,3.34,aion,eessi
inter_node,2,2.82,aion,eessi
inter_node,4,2.83,aion,eessi
inter_node,8,2.83,aion,eessi
inter_node,16,2.84,aion,eessi
inter_node,32,2.83,aion,eessi
inter_node,64,2.94,aion,eessi
inter_node,128,3.02,aion,eessi
inter_node,256,3.55,aion,eessi
inter_node,512,3.12,aion,eessi
inter_node,1024,3.19,aion,eessi
inter_node,2048,3.34,aion,eessi
inter_node,4096,4.39,aion,eessi
inter_node,8192,4.49,aion,eessi
same_numa,1,0.14,aion,local
same_numa,2,0.17,aion,local
same_numa,4,0.14,aion,local
same_numa,8,0.13,aion,local
same_numa,16,0.13,aion,local
same_numa,32,0.13,aion,local
same_numa,64,0.13,aion,local
same_numa,128,0.13,aion,local
same_numa,256,0.13,aion,local
same_numa,512,0.14,aion,local
same_numa,1024,0.15,aion,local
same_numa,2048,0.16,aion,local
same_numa,4096,0.17,aion,local
same_numa,8192,0.21,aion,local
diff_numa_same_socket,1,0.14,aion,local
diff_numa_same_socket,2,0.14,aion,local
diff_numa_same_socket,4,0.14,aion,local
diff_numa_same_socket,8,0.14,aion,local
diff_numa_same_socket,16,0.13,aion,local
diff_numa_same_socket,32,0.13,aion,local
diff_numa_same_socket,64,0.13,aion,local
diff_numa_same_socket,128,0.17,aion,local
diff_numa_same_socket,256,0.13,aion,local
diff_numa_same_socket,512,0.14,aion,local
diff_numa_same_socket,1024,0.14,aion,local
diff_numa_same_socket,2048,0.16,aion,local
diff_numa_same_socket,4096,0.17,aion,local
diff_numa_same_socket,8192,0.21,aion,local
diff_socket_same_node,1,0.17,aion,local
diff_socket_same_node,2,0.13,aion,local
diff_socket_same_node,4,0.14,aion,local
diff_socket_same_node,8,0.14,aion,local
diff_socket_same_node,16,0.14,aion,local
diff_socket_same_node,32,0.13,aion,local
diff_socket_same_node,64,0.14,aion,local
diff_socket_same_node,128,0.13,aion,local
diff_socket_same_node,256,0.13,aion,local
diff_socket_same_node,512,0.14,aion,local
diff_socket_same_node,1024,0.15,aion,local
diff_socket_same_node,2048,0.15,aion,local
diff_socket_same_node,4096,0.17,aion,local
diff_socket_same_node,8192,0.21,aion,local
inter_node,1,2.85,aion,local
inter_node,2,2.82,aion,local
inter_node,4,2.83,aion,local
inter_node,8,2.83,aion,local
inter_node,16,2.84,aion,local
inter_node,32,2.84,aion,local
inter_node,64,2.94,aion,local
inter_node,128,3.01,aion,local
inter_node,256,3.04,aion,local
inter_node,512,3.12,aion,local
inter_node,1024,3.18,aion,local
inter_node,2048,3.35,aion,local
inter_node,4096,3.96,aion,local
inter_node,8192,4.5,aion,local
same_numa,1,0.14,iris,easybuild
same_numa,2,0.14,iris,easybuild
same_numa,4,0.14,iris,easybuild
same_numa,8,0.14,iris,easybuild
same_numa,16,0.14,iris,easybuild
same_numa,32,0.14,iris,easybuild
same_numa,64,0.14,iris,easybuild
same_numa,128,0.14,iris,easybuild
same_numa,256,0.14,iris,easybuild
same_numa,512,0.15,iris,easybuild
same_numa,1024,0.16,iris,easybuild
same_numa,2048,0.18,iris,easybuild
same_numa,4096,0.24,iris,easybuild
same_numa,8192,0.34,iris,easybuild
diff_numa_same_socket,1,0.13,iris,easybuild
diff_numa_same_socket,2,0.15,iris,easybuild
diff_numa_same_socket,4,0.14,iris,easybuild
diff_numa_same_socket,8,0.14,iris,easybuild
diff_numa_same_socket,16,0.19,iris,easybuild
diff_numa_same_socket,32,0.14,iris,easybuild
diff_numa_same_socket,64,0.14,iris,easybuild
diff_numa_same_socket,128,0.2,iris,easybuild
diff_numa_same_socket,256,0.14,iris,easybuild
diff_numa_same_socket,512,0.15,iris,easybuild
diff_numa_same_socket,1024,0.17,iris,easybuild
diff_numa_same_socket,2048,0.18,iris,easybuild
diff_numa_same_socket,4096,0.23,iris,easybuild
diff_numa_same_socket,8192,0.32,iris,easybuild
diff_socket_same_node,1,0.13,iris,easybuild
diff_socket_same_node,2,0.14,iris,easybuild
diff_socket_same_node,4,0.14,iris,easybuild
diff_socket_same_node,8,0.14,iris,easybuild
diff_socket_same_node,16,0.14,iris,easybuild
diff_socket_same_node,32,0.14,iris,easybuild
diff_socket_same_node,64,0.14,iris,easybuild
diff_socket_same_node,128,0.14,iris,easybuild
diff_socket_same_node,256,0.14,iris,easybuild
diff_socket_same_node,512,0.16,iris,easybuild
diff_socket_same_node,1024,0.18,iris,easybuild
diff_socket_same_node,2048,0.18,iris,easybuild
diff_socket_same_node,4096,0.23,iris,easybuild
diff_socket_same_node,8192,0.34,iris,easybuild
inter_node,1,1.67,iris,easybuild
inter_node,2,1.67,iris,easybuild
inter_node,4,1.58,iris,easybuild
inter_node,8,1.61,iris,easybuild
inter_node,16,1.58,iris,easybuild
inter_node,32,1.62,iris,easybuild
inter_node,64,1.61,iris,easybuild
inter_node,128,1.72,iris,easybuild
inter_node,256,1.74,iris,easybuild
inter_node,512,1.8,iris,easybuild
inter_node,1024,1.94,iris,easybuild
inter_node,2048,2.36,iris,easybuild
inter_node,4096,2.73,iris,easybuild
inter_node,8192,3.13,iris,easybuild
same_numa,1,0.13,iris,eessi
same_numa,2,0.14,iris,eessi
same_numa,4,0.14,iris,eessi
same_numa,8,0.14,iris,eessi
same_numa,16,0.14,iris,eessi
same_numa,32,0.15,iris,eessi
same_numa,64,0.15,iris,eessi
same_numa,128,0.14,iris,eessi
same_numa,256,0.15,iris,eessi
same_numa,512,0.16,iris,eessi
same_numa,1024,0.16,iris,eessi
same_numa,2048,0.19,iris,eessi
same_numa,4096,0.21,iris,eessi
same_numa,8192,0.34,iris,eessi
diff_numa_same_socket,1,0.13,iris,eessi
diff_numa_same_socket,2,0.14,iris,eessi
diff_numa_same_socket,4,0.14,iris,eessi
diff_numa_same_socket,8,0.14,iris,eessi
diff_numa_same_socket,16,0.14,iris,eessi
diff_numa_same_socket,32,0.14,iris,eessi
diff_numa_same_socket,64,0.14,iris,eessi
diff_numa_same_socket,128,0.14,iris,eessi
diff_numa_same_socket,256,0.14,iris,eessi
diff_numa_same_socket,512,0.15,iris,eessi
diff_numa_same_socket,1024,0.16,iris,eessi
diff_numa_same_socket,2048,0.18,iris,eessi
diff_numa_same_socket,4096,0.21,iris,eessi
diff_numa_same_socket,8192,0.32,iris,eessi
diff_socket_same_node,1,0.14,iris,eessi
diff_socket_same_node,2,0.14,iris,eessi
diff_socket_same_node,4,0.14,iris,eessi
diff_socket_same_node,8,0.14,iris,eessi
diff_socket_same_node,16,0.14,iris,eessi
diff_socket_same_node,32,0.14,iris,eessi
diff_socket_same_node,64,0.14,iris,eessi
